Ticker,Name,Sector,AssetClass,MarketValue,NotionalValue,Shares,Price,Location,Exchange,Currency,FXRate,MarketCurrency,AccrualDate,Weight
JJSF,J AND J SNACK FOODS CORP,Consumer Staples,Equity,620120.68,620120.68,4138,149.86,United States,NASDAQ,USD,1,USD,,0.01
FCEL,FUELCELL ENERGY INC,Industrials,Equity,615546.75,615546.75,84903,7.25,United States,NASDAQ,USD,1,USD,,0.01
MGLN,MAGELLAN HEALTH INC,Health Care,Equity,615325.32,615325.32,6499,94.68,United States,NASDAQ,USD,1,USD,,0.01
OTTR,OTTER TAIL CORP,Utilities,Equity,613709.25,613709.25,10627,57.75,United States,NASDAQ,USD,1,USD,,0.01
WRE,WASHINGTON REAL ESTATE INVESTMENT,Real Estate,Equity,614289.03,614289.03,23893,25.71,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
FWRD,FORWARD AIR CORP,Industrials,Equity,613651.8,613651.8,7365,83.32,United States,NASDAQ,USD,1,USD,,0.01
MED,MEDIFAST INC,Consumer Staples,Equity,609817.32,609817.32,3204,190.33,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
RNST,RENASANT CORP,Financials,Equity,606416,606416,16064,37.75,United States,NASDAQ,USD,1,USD,,0.01
FRME,FIRST MERCHANTS CORP,Financials,Equity,605633.01,605633.01,14389,42.09,United States,NASDAQ,USD,1,USD,,0.01
CVA,COVANTA HOLDING CORP,Industrials,Equity,603955.95,603955.95,29973,20.15,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
ROCK,GIBRALTAR INDUSTRIES INC,Industrials,Equity,604957.74,604957.74,8174,74.01,United States,NASDAQ,USD,1,USD,,0.01
GHC,GRAHAM HOLDINGS COMPANY CLASS B,Consumer Discretionary,Equity,603322.2,603322.2,1035,582.92,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
IDCC,INTERDIGITAL INC,Information Technology,Equity,599248.2,599248.2,8940,67.03,United States,NASDAQ,USD,1,USD,,0.01
IBOC,INTERNATIONAL BANCSHARES CORP,Financials,Equity,599332.62,599332.62,14722,40.71,United States,NASDAQ,USD,1,USD,,0.01
RMBS,RAMBUS INC,Information Technology,Equity,599085.8,599085.8,27481,21.8,United States,NASDAQ,USD,1,USD,,0.01
WGO,WINNEBAGO INDUSTRIES INC,Consumer Discretionary,Equity,595546.5,595546.5,7862,75.75,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
NUS,NU SKIN ENTERPRISES INC CLASS A,Consumer Staples,Equity,595546.59,595546.59,14629,40.71,United States,New York Stock Exchange Inc.,USD,1,USD,,0.01
FFBC,FIRST FINANCIAL BANCORP,Financials,Equity,589455.78,589455.78,25266,23.33,United States,NASDAQ,USD,1,USD,,0
CPK,CHESAPEAKE UTILITIES CORP,Utilities,Equity,586421.5,586421.5,4585,127.9,United States,New York Stock Exchange Inc.,USD,1,USD,,0
INT,WORLD FUEL SERVICES CORP,Energy,Equity,586273.95,586273.95,17847,32.85,United States,New York Stock Exchange Inc.,USD,1,USD,,0
WAFD,WASHINGTON FEDERAL INC,Financials,Equity,584922.66,584922.66,16842,34.73,United States,NASDAQ,USD,1,USD,,0
TRN,TRINITY INDUSTRIES INC,Industrials,Equity,581725.04,581725.04,20248,28.73,United States,New York Stock Exchange Inc.,USD,1,USD,,0
EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary,Equity,582202.4,582202.4,12104,48.1,United States,New York Stock Exchange Inc.,USD,1,USD,,0
SJI,S JERSEY INDS INC,Utilities,Equity,577009.9,577009.9,25702,22.45,United States,New York Stock Exchange Inc.,USD,1,USD,,0
MYGN,MYRIAD GENETICS INC,Health Care,Equity,577851.33,577851.33,18223,31.71,United States,NASDAQ,USD,1,USD,,0
PRGS,PROGRESS SOFTWARE CORP,Information Technology,Equity,577699.09,577699.09,11797,48.97,United States,NASDAQ,USD,1,USD,,0
VCEL,VERICEL CORP,Health Care,Equity,576551.52,576551.52,11664,49.43,United States,NASDAQ,USD,1,USD,,0
DY,DYCOM INDUSTRIES INC,Industrials,Equity,575384.4,575384.4,8310,69.24,United States,New York Stock Exchange Inc.,USD,1,USD,,0
VGR,VECTOR GROUP LTD,Consumer Staples,Equity,569553.92,569553.92,41392,13.76,United States,New York Stock Exchange Inc.,USD,1,USD,,0
URBN,URBAN OUTFITTERS INC,Consumer Discretionary,Equity,569362.98,569362.98,18922,30.09,United States,NASDAQ,USD,1,USD,,0
KAI,KADANT INC,Industrials,Equity,568398.87,568398.87,2841,200.07,United States,New York Stock Exchange Inc.,USD,1,USD,,0
CPE,CALLON PETROLEUM,Energy,Equity,560804.4,560804.4,10420,53.82,United States,New York Stock Exchange Inc.,USD,1,USD,,0
MFA,MFA FINANCIAL REIT INC,Financials,Equity,555772.03,555772.03,119009,4.67,United States,New York Stock Exchange Inc.,USD,1,USD,,0
ATI,ALLEGHENY TECHNOLOGIES INC,Materials,Equity,555043.18,555043.18,32999,16.82,United States,New York Stock Exchange Inc.,USD,1,USD,,0
AKR,ACADIA REALTY TRUST REIT,Real Estate,Equity,554696.64,554696.64,24852,22.32,United States,New York Stock Exchange Inc.,USD,1,USD,,0
IOSP,INNOSPEC INC,Materials,Equity,554761.6,554761.6,6542,84.8,United States,NASDAQ,USD,1,USD,,0
BANR,BANNER CORP,Financials,Equity,553945.44,553945.44,9732,56.92,United States,NASDAQ,USD,1,USD,,0
MD,MEDNAX INC,Health Care,Equity,550939.02,550939.02,20798,26.49,United States,New York Stock Exchange Inc.,USD,1,USD,,0
TRMK,TRUSTMARK CORP,Financials,Equity,548589.3,548589.3,16710,32.83,United States,NASDAQ,USD,1,USD,,0
COKE,COCA COLA CONSOLIDATED INC,Consumer Staples,Equity,549455.67,549455.67,1371,400.77,United States,NASDAQ,USD,1,USD,,0
ESE,ESCO TECHNOLOGIES INC,Industrials,Equity,546794.4,546794.4,6652,82.2,United States,New York Stock Exchange Inc.,USD,1,USD,,0
TOWN,TOWNEBANK,Financials,Equity,543123.94,543123.94,17074,31.81,United States,NASDAQ,USD,1,USD,,0
NTCT,NETSCOUT SYSTEMS INC,Information Technology,Equity,538642.28,538642.28,20009,26.92,United States,NASDAQ,USD,1,USD,,0
TDS,TELEPHONE AND DATA SYSTEMS INC,Communication,Equity,533390.52,533390.52,27723,19.24,United States,New York Stock Exchange Inc.,USD,1,USD,,0
MSEX,MIDDLESEX WATER,Utilities,Equity,532857.15,532857.15,5085,104.79,United States,NASDAQ,USD,1,USD,,0
B,BARNES GROUP INC,Industrials,Equity,531536.72,531536.72,12454,42.68,United States,New York Stock Exchange Inc.,USD,1,USD,,0
MNR,MONMOUTH REAL ESTATE INVESTMENT RE,Real Estate,Equity,529095.35,529095.35,27629,19.15,United States,New York Stock Exchange Inc.,USD,1,USD,,0
WIRE,ENCORE WIRE CORP,Industrials,Equity,529151.03,529151.03,5119,103.37,United States,NASDAQ,USD,1,USD,,0
GVA,GRANITE CONSTRUCTION INC,Industrials,Equity,527772.18,527772.18,13443,39.26,United States,New York Stock Exchange Inc.,USD,1,USD,,0
JACK,JACK IN THE BOX INC,Consumer Discretionary,Equity,524148.15,524148.15,5465,95.91,United States,NASDAQ,USD,1,USD,,0
RAVN,RAVEN INDUSTRIES INC,Industrials,Equity,521117.82,521117.82,9019,57.78,United States,NASDAQ,USD,1,USD,,0
SJW,SJW GROUP,Utilities,Equity,520039.5,520039.5,7710,67.45,United States,New York Stock Exchange Inc.,USD,1,USD,,0
